Devices
1000
		Delsys Trigno - Voltage		
Frame	Sub Frame	EMG 1	EMG 2
		V	V
20	0	-0.0187683	0.00198364
20	1	-0.0135803	0.0154114
20	2	0.00518799	0.00335693
20	3	-0.0112915	0.00854492
20	4	-0.0170898	0.0109863
20	5	-0.0247192	0.0088501
20	6	-0.0210571	0.0125122
20	7	-0.0160217	0.01297
20	8	-0.0111389	0.0105286
20	9	-0.0143433	0.0123596
21	0	-0.0160217	0.00930786
21	1	-0.0146484	0.00701904
21	2	0.00320435	0.00946045
21	3	-0.00152588	0.00900269
21	4	-0.00137329	0.00915527
21	5	0.00991821	0.00961304
21	6	0.0106812	0.00793457
21	7	0.0163269	0.0100708
21	8	0.0193787	0.00656128
21	9	-0.000762939	0.00976563
22	0	-0.000305176	0.00991821
22	1	-0.00900269	0.00991821
22	2	-0.0119019	0.0111389
22	3	0.00198364	0.00823975
22	4	-0.00915527	0.00930786
22	5	-0.00793457	0.0088501
22	6	-0.00610352	0.012207
22	7	-0.0111389	0.0112915
22	8	-0.00610352	0.00991821
22	9	-0.00930786	0.0112915
23	0	-0.00274658	0.00991821
23	1	-0.00518799	0.00427246
23	2	0.00228882	0.00915527
23	3	0.00717163	0.00366211
23	4	0.0128174	0.0149536
23	5	0.0210571	0.0112915
23	6	0.00549316	0.0102234
23	7	-0.00457764	0.0117493
23	8	0.000457764	0.00640869
23	9	-0.00442505	0.0102234
24	0	-0.00366211	0.00915527
24	1	-0.00320435	0.00808716
24	2	0.0123596	0.0125122
24	3	0.0120544	0.0102234
24	4	0.00564575	0.00579834
24	5	0.00305176	0.0128174
24	6	-0.00686646	0.00534058
24	7	-0.00320435	0.0108337
24	8	-0.00930786	0.0050354
24	9	-0.022583	0.0100708
25	0	-0.0224304	0.0115967
25	1	-0.0224304	0.0138855
25	2	-0.0209045	0.0105286
25	3	-0.0143433	0.00823975
25	4	-0.0151062	0.00915527
25	5	-0.00244141	0.0108337
25	6	0.00473022	0.00976563
25	7	0.00396729	0.00701904
25	8	0.0204468	0.00793457
25	9	0.0166321	0.00717163
26	0	0.0192261	0.0132751
26	1	0.0128174	0.0088501
26	2	0	0.0125122
26	3	0.00564575	0.00747681
26	4	-0.00167847	0.00762939
26	5	-0.0132751	0.010376
26	6	-0.00198364	0.00579834
26	7	-0.00427246	0.0137329
26	8	0	0.0109863
26	9	-0.0135803	0.0102234
27	0	-0.025177	0.00717163
27	1	-0.00564575	0.00869751
27	2	-0.00152588	0.0109863
27	3	-0.00366211	0.00808716
27	4	-0.00839233	0.00930786
27	5	-0.0154114	0.00915527
27	6	-0.00549316	0.0109863
27	7	-0.0100708	0.0125122
27	8	-0.00152588	0.0088501
27	9	-0.0132751	0.00762939
28	0	-0.0012207	0.00778198
28	1	-0.000457764	0.00671387
28	2	-0.00900269	0.0111389
28	3	-0.00350952	0.00946045
28	4	-0.00747681	0.0102234
28	5	-0.000152588	0.0141907
28	6	0.00289917	0.00717163
28	7	0.000915527	0.00579834
28	8	-0.00656128	0.00793457
28	9	-0.00228882	0.0088501
29	0	0.00457764	0.0132751
29	1	0.00701904	0.00823975
29	2	0.00701904	0.00869751
29	3	0.00457764	0.0131226
29	4	0.000610352	0.00610352
29	5	0.000152588	0.0125122
29	6	0.0125122	0.0115967
29	7	0.012207	0.00579834
29	8	0.00900269	0.0108337
29	9	0.00991821	0.00823975
30	0	-0.0050354	0.0112915
30	1	0.00137329	0.0117493
30	2	-0.00701904	0.0109863
30	3	-0.0152588	0.0112915
30	4	-0.0192261	0.00518799
30	5	-0.0363159	0.0117493
30	6	-0.0279236	0.00854492
30	7	-0.0250244	0.0062561
30	8	-0.0366211	0.0114441
30	9	-0.0395203	0.00869751
31	0	-0.0357056	0.00946045
31	1	-0.0192261	0.00823975
31	2	-0.010376	0.00427246
31	3	-0.0138855	0.0105286
31	4	-0.00991821	0.00640869
31	5	-0.0143433	0.0108337
31	6	-0.014801	0.0117493
31	7	-0.00961304	0.00183105
31	8	-0.00473022	0.00839233
31	9	-0.00808716	0.00350952
32	0	-0.0126648	0.00823975
32	1	0.00762939	0.0114441
32	2	-0.00305176	0.0119019
32	3	-0.00900269	0.00839233
32	4	-0.0158691	0.0112915
32	5	-0.0132751	0.00823975
32	6	-0.012207	0.0151062
32	7	-0.00747681	0.00396729
32	8	0.000305176	0.00900269
32	9	-0.0166321	0.012207
33	0	-0.00335693	0.00854492
33	1	-0.000610352	0.00946045
33	2	0.0274658	0.00762939
33	3	0.0202942	0.00595093
33	4	0.0190735	0.010376
33	5	0.00473022	0.00915527
33	6	0.01297	0.0114441
33	7	0.00488281	0.0106812
33	8	0.0215149	0.00717163
33	9	0.00488281	0.0105286
34	0	0.00244141	0.00823975
34	1	-0.0102234	0.00961304
34	2	-0.0038147	0.00961304
34	3	-0.0186157	0.0102234
34	4	-0.0141907	0.00671387
34	5	0.00427246	0.00518799
34	6	0.00457764	0.00930786
34	7	-0.00228882	0.00961304
34	8	0.0119019	0.00961304
34	9	-0.00335693	0.00732422
35	0	-0.0125122	0.00930786
35	1	-0.0120544	0.0105286
35	2	-0.0244141	0.00930786
35	3	-0.017395	0.00900269
35	4	0.00442505	0.00991821
35	5	0.00915527	0.00701904
35	6	0.00228882	0.00656128
35	7	-0.0128174	0.0126648
35	8	-0.00305176	0.00595093
35	9	-0.0125122	0.00762939
36	0	-0.00793457	0.00732422
36	1	-0.0166321	0.00488281
36	2	0.00976563	0.00701904
36	3	0	0.00961304
36	4	-0.00534058	0.0105286
36	5	0.0180054	0.0137329
36	6	0.0112915	0.0112915
36	7	-0.0050354	0.00961304
36	8	-0.0112915	0.0117493
36	9	-0.0167847	0.00778198
37	0	-0.032196	0.0119019
37	1	0.00640869	0.00793457
37	2	0.00717163	0.0105286
37	3	0.00930786	0.0120544
37	4	0.0312805	0.0062561
37	5	0.0108337	0.00976563
37	6	0.0012207	0.00442505
37	7	-0.0338745	0.00823975
37	8	-0.087738	0.018158
37	9	-0.0889587	0.00595093
38	0	-0.0868225	0.0126648
38	1	-0.0512695	0.0115967
38	2	-0.0177002	0.00961304
38	3	0.014801	0.00946045
38	4	0.037384	0.0117493
38	5	0.0445557	0.0175476
38	6	0.0527954	0.00946045
38	7	0.00976563	0.00747681
38	8	-0.0273132	0.00930786
38	9	-0.0608826	0.00976563
39	0	-0.0914001	0.00930786
39	1	-0.0671387	0.0119019
39	2	-0.055542	0.00717163
39	3	-0.018158	0.010376
39	4	0.0170898	0.00976563
39	5	0.0663757	0.00686646
39	6	0.071106	0.0111389
39	7	0.0846863	0.0114441
39	8	0.0819397	0.00839233
39	9	0.0715637	0.00762939
40	0	0.0579834	0.00747681
40	1	0.0447083	0.0106812
40	2	0.00778198	0.00961304
40	3	0.0218201	0.00259399
40	4	0.00152588	0.0166321
40	5	-0.00579834	0.00518799
40	6	-0.0114441	0.0120544
40	7	-0.0265503	0.00778198
40	8	-0.0210571	0.00747681
40	9	-0.0325012	0.00671387
41	0	-0.0315857	0.00473022
41	1	-0.0187683	0.00946045
