TimeStamp	FrameNumber	FP1.CopX	FP1.CopY	FP1.CopZ	FP1.ForX	FP1.ForY	FP1.ForZ	FP1.MomX	FP1.MomY	FP1.MomZ	FP2.CopX	FP2.CopY	FP2.CopZ	FP2.ForX	FP2.ForY	FP2.ForZ	FP2.MomX	FP2.MomY	FP2.MomZ
10250.047320	 6143196	-0.176526	0.000000	0.043498	14.364646	15.991806	1.619952	-0.695607	11.677479	-2.822973	0.095842	0.000000	-0.306061	-41.457962	701.269470	11.179609	214.631332	17.626850	67.211090
10250.048994	 6143197	-0.176468	0.000000	0.043469	14.358362	15.965655	1.624706	-0.694007	11.668606	-2.817434	0.095850	0.000000	-0.306037	-41.463135	701.292847	11.200180	214.621521	17.622990	67.218918
10250.050661	 6143198	-0.176022	0.000000	0.043612	14.326321	15.828352	1.645651	-0.690305	11.623088	-2.786144	0.095887	0.000000	-0.305931	-41.491776	701.409546	11.304134	214.583130	17.606110	67.256401
10250.052334	 6143199	-0.174458	0.000000	0.044803	14.226040	15.473323	1.688030	-0.693249	11.511182	-2.699443	0.095980	0.000000	-0.305714	-41.555016	701.704224	11.567901	214.520615	17.559963	67.349258
10250.053994	 6143200	-0.171037	0.000000	0.048786	13.992042	14.858561	1.744151	-0.724885	11.323436	-2.541363	0.096135	0.000000	-0.305429	-41.632423	702.211853	12.035835	214.476135	17.454582	67.507271
10250.055655	 6143201	-0.165471	0.000000	0.058331	13.571744	14.002742	1.800421	-0.816792	11.051435	-2.317052	0.096342	0.000000	-0.305161	-41.695351	702.907410	12.733886	214.500137	17.252562	67.719582
10250.057326	 6143202	-0.157834	0.000000	0.076616	12.971290	12.944700	1.848228	-0.991767	10.673222	-2.043111	0.096576	0.000000	-0.304970	-41.735897	703.735474	13.678488	214.618378	16.928841	67.963829
10250.058987	 6143203	-0.147739	0.000000	0.105781	12.251390	11.731306	1.893939	-1.240951	10.169807	-1.733175	0.096815	0.000000	-0.304850	-41.772648	704.643799	14.859929	214.810913	16.479221	68.220146
10250.060656	 6143204	-0.133260	0.000000	0.147623	11.455659	10.395458	1.945719	-1.534605	9.529811	-1.385302	0.097060	0.000000	-0.304755	-41.831120	705.616760	16.272129	215.040237	15.898941	68.486908
10250.062324	 6143205	-0.111859	0.000000	0.204128	10.619627	9.021698	2.002055	-1.841583	8.775585	-1.009162	0.097311	0.000000	-0.304662	-41.920311	706.627258	17.855820	215.282516	15.197611	68.762512
10250.063995	 6143206	-0.082557	0.000000	0.280376	9.751406	7.715003	2.053267	-2.163099	7.943465	-0.636924	0.097559	0.000000	-0.304586	-42.038166	707.643311	19.523424	215.538528	14.391107	69.036690
10250.065660	 6143207	-0.049108	0.000000	0.381235	8.846397	6.578601	2.079958	-2.507990	7.082395	-0.323065	0.097774	0.000000	-0.304550	-42.186718	708.614868	21.160706	215.808441	13.517508	69.284180
10250.067326	 6143208	-0.018941	0.000000	0.505625	7.905411	5.644533	2.067625	-2.854020	6.226745	-0.106913	0.097926	0.000000	-0.304555	-42.378117	709.506226	22.675493	216.083481	12.627484	69.479050
10250.068998	 6143209	0.000079	0.000000	0.640888	6.959328	4.906670	2.009779	-3.144625	5.399068	0.000390	0.097994	0.000000	-0.304586	-42.623699	710.293884	23.985100	216.345444	11.785149	69.604286
10250.070653	 6143210	0.002363	0.000000	0.760671	6.058500	4.364805	1.906824	-3.320180	4.629345	0.010314	0.097974	0.000000	-0.304625	-42.921230	710.960266	25.003342	216.576187	11.059265	69.655540
10250.072327	 6143211	-0.014948	0.000000	0.836166	5.201200	4.019265	1.756584	-3.360772	3.925343	-0.060079	0.097873	0.000000	-0.304676	-43.262966	711.526550	25.697838	216.785385	10.467746	69.639206
10250.073992	 6143212	-0.050526	0.000000	0.843124	4.404519	3.901476	1.550928	-3.289428	3.325013	-0.197125	0.097704	0.000000	-0.304766	-43.610069	711.983765	26.043491	216.988419	10.027447	69.563339
10250.075657	 6143213	-0.095502	0.000000	0.788257	3.674883	3.998511	1.281943	-3.151856	2.836425	-0.381866	0.097481	0.000000	-0.304924	-43.932434	712.325806	26.079695	217.205368	9.732890	69.438065
10250.077325	 6143214	-0.137920	0.000000	0.704178	3.030792	4.222072	0.960193	-2.973090	2.440418	-0.582307	0.097228	0.000000	-0.305162	-44.214691	712.582336	25.862600	217.453156	9.583453	69.282776
10250.078987	 6143215	-0.170970	0.000000	0.624044	2.491849	4.422267	0.615030	-2.759690	2.104441	-0.756073	0.096977	0.000000	-0.305459	-44.448215	712.821838	25.452805	217.738113	9.577000	69.127518
10250.080667	 6143216	-0.195007	0.000000	0.564646	2.042601	4.461338	0.275485	-2.519077	1.800092	-0.869992	0.096762	0.000000	-0.305776	-44.630840	713.123779	24.900978	218.056122	9.708046	69.003525
10250.082328	 6143217	-0.212049	0.000000	0.532849	1.652484	4.276863	-0.029305	-2.278924	1.529117	-0.906906	0.096617	0.000000	-0.306069	-44.744667	713.528076	24.278917	218.389053	9.959884	68.938721
10250.083986	 6143218	-0.223348	0.000000	0.527671	1.271153	3.909160	-0.300655	-2.062750	1.296031	-0.873104	0.096540	0.000000	-0.306353	-44.773045	714.022766	23.634949	218.742828	10.311475	68.931786
10250.085654	 6143219	-0.227461	0.000000	0.550275	0.873122	3.425250	-0.546152	-1.884829	1.107183	-0.779110	0.096511	0.000000	-0.306659	-44.708904	714.563354	23.005375	219.127365	10.741698	68.963448
