TimeStamp	FrameNumber	FP1.CopX	FP1.CopY	FP1.CopZ	FP1.ForX	FP1.ForY	FP1.ForZ	FP1.MomX	FP1.MomY	FP1.MomZ	FP2.CopX	FP2.CopY	FP2.CopZ	FP2.ForX	FP2.ForY	FP2.ForZ	FP2.MomX	FP2.MomY	FP2.MomZ
10400.975084	 6233753	-0.328006	0.000000	-0.673834	-9.028768	-6.075686	-3.379957	-4.094003	0.679465	1.992860	0.113018	0.000000	-0.127852	-50.634235	789.196777	-36.345299	100.900253	17.401484	89.193504
10400.976749	 6233754	-0.328063	0.000000	-0.675051	-9.032943	-6.070796	-3.389528	-4.098098	0.680981	1.991602	0.113013	0.000000	-0.127856	-50.625450	789.179749	-36.350182	100.901741	17.399647	89.187531
10400.978414	 6233755	-0.327731	0.000000	-0.679670	-9.044896	-6.053153	-3.435062	-4.114147	0.683593	1.983809	0.112984	0.000000	-0.127871	-50.585556	789.110596	-36.372356	100.904396	17.391319	89.157127
10400.980087	 6233756	-0.326140	0.000000	-0.688651	-9.044341	-6.010376	-3.542004	-4.139053	0.675031	1.960227	0.112904	0.000000	-0.127883	-50.499664	788.974792	-36.421764	100.896523	17.374836	89.078514
10400.981758	 6233757	-0.323059	0.000000	-0.701443	-8.984536	-5.924053	-3.714266	-4.155388	0.635733	1.913818	0.112747	0.000000	-0.127866	-50.380028	788.789795	-36.503441	100.859375	17.352224	88.933365
10400.983420	 6233758	-0.319133	0.000000	-0.719636	-8.827064	-5.773731	-3.936859	-4.154985	0.558347	1.842590	0.112499	0.000000	-0.127811	-50.251942	788.559265	-36.632137	100.786469	17.317112	88.712212
10400.985088	 6233759	-0.315815	0.000000	-0.753270	-8.565314	-5.514935	-4.183684	-4.154237	0.457095	1.741701	0.112160	0.000000	-0.127746	-50.131126	788.236145	-36.841888	100.693726	17.250471	88.408836
10400.986753	 6233760	-0.314763	0.000000	-0.818965	-8.218723	-5.094769	-4.419683	-4.172438	0.361436	1.603643	0.111736	0.000000	-0.127713	-50.031342	787.770813	-37.171032	100.608192	17.135210	88.022499
10400.988419	 6233761	-0.316120	0.000000	-0.932261	-7.798588	-4.506970	-4.620587	-4.201674	0.287013	1.424745	0.111236	0.000000	-0.127716	-49.965729	787.172180	-37.649040	100.534325	16.967491	87.561699
10400.990084	 6233762	-0.317235	0.000000	-1.099496	-7.304832	-3.823375	-4.765735	-4.203786	0.225097	1.212910	0.110691	0.000000	-0.127704	-49.941143	786.528870	-38.280704	100.442711	16.757019	87.061928
10400.991749	 6233763	-0.313650	0.000000	-1.318953	-6.739956	-3.138155	-4.834968	-4.139080	0.163176	0.984282	0.110148	0.000000	-0.127605	-49.954071	785.947083	-39.042252	100.291061	16.518812	86.570473
10400.993416	 6233764	-0.302354	0.000000	-1.604114	-6.121395	-2.500176	-4.822616	-4.010567	0.100423	0.755939	0.109641	0.000000	-0.127388	-49.984341	785.483948	-39.890999	100.061012	16.264561	86.121628
10400.995089	 6233765	-0.282226	0.000000	-2.009907	-5.483241	-1.915897	-4.745755	-3.850774	0.041423	0.540716	0.109182	0.000000	-0.127073	-50.004894	785.152527	-40.774670	99.771370	15.993883	85.724617
10400.996748	 6233766	-0.250198	0.000000	-2.639118	-4.869707	-1.393246	-4.627665	-3.676939	-0.010253	0.348587	0.108765	0.000000	-0.126692	-49.997684	784.960632	-41.617065	99.448509	15.701473	85.376091
10400.998415	 6233767	-0.197476	0.000000	-3.730822	-4.292176	-0.938659	-4.480803	-3.501971	-0.058397	0.185362	0.108378	0.000000	-0.126227	-49.969208	784.938721	-42.364223	99.080254	15.382906	85.070435
10401.000088	 6233768	-0.116816	0.000000	-5.649672	-3.751657	-0.592023	-4.316992	-3.344735	-0.116122	0.069158	0.108041	0.000000	-0.125617	-49.949539	785.158691	-42.963768	98.629486	15.050862	84.829300
10401.001753	 6233769	-0.046973	0.000000	-8.063953	-3.240501	-0.396717	-4.154142	-3.199106	-0.197604	0.018635	0.107784	0.000000	-0.124832	-49.960945	785.656677	-43.380383	98.075203	14.722016	84.681496
10401.003421	 6233770	-0.096824	0.000000	-8.938287	-2.756279	-0.342250	-4.006267	-3.059129	-0.302192	0.033138	0.107623	0.000000	-0.123902	-50.004692	786.404724	-43.619892	97.437508	14.404071	84.634956
10401.005081	 6233771	-0.244205	0.000000	-7.803562	-2.332078	-0.377220	-3.880119	-2.943660	-0.406762	0.092119	0.107554	0.000000	-0.122911	-50.068153	787.336731	-43.711426	96.772675	14.109188	84.680992
10401.006749	 6233772	-0.371804	0.000000	-6.386333	-1.996350	-0.448676	-3.773225	-2.865396	-0.484981	0.166820	0.107560	0.000000	-0.121908	-50.145599	788.401978	-43.696156	96.112488	13.843190	84.800674
10401.008415	 6233773	-0.441617	0.000000	-5.361698	-1.757611	-0.525407	-3.671359	-2.817075	-0.528235	0.232029	0.107614	0.000000	-0.120919	-50.245903	789.547546	-43.617458	95.471161	13.612726	84.966713
10401.010083	 6233774	-0.462597	0.000000	-4.608900	-1.584486	-0.601012	-3.540083	-2.770005	-0.547673	0.278026	0.107685	0.000000	-0.119939	-50.383305	790.739319	-43.528400	94.840172	13.414045	85.150902
10401.011747	 6233775	-0.464062	0.000000	-4.089842	-1.428383	-0.659346	-3.345149	-2.696621	-0.553395	0.305977	0.107745	0.000000	-0.118962	-50.568031	791.936890	-43.486366	94.210533	13.236287	85.326973
10401.013420	 6233776	-0.481221	0.000000	-4.020648	-1.260249	-0.647805	-3.070833	-2.604595	-0.540739	0.311737	0.107771	0.000000	-0.117991	-50.803730	793.093567	-43.545620	93.578026	13.064999	85.472244
10401.015088	 6233777	-0.549330	0.000000	-4.902209	-1.085991	-0.517450	-2.725941	-2.536650	-0.490239	0.284251	0.107750	0.000000	-0.117063	-51.085567	794.141418	-43.745617	92.964554	12.889462	85.568573
10401.016757	 6233778	-0.819109	0.000000	-9.577541	-0.913597	-0.263104	-2.334369	-2.519885	-0.383097	0.215510	0.107674	0.000000	-0.116221	-51.409679	795.031311	-44.108280	92.399269	12.702711	85.604507
10401.018416	 6233779	1.356353	0.000000	32.745029	-0.735503	0.077651	-1.932607	-2.542690	-0.223953	0.105322	0.107543	0.000000	-0.115499	-51.770794	795.735718	-44.634415	91.906601	12.508512	85.575439
10401.020084	 6233780	-0.080866	0.000000	5.700068	-0.533311	0.451066	-1.545375	-2.571105	-0.036797	-0.036476	0.107366	0.000000	-0.114878	-52.166367	796.297058	-45.307434	91.477211	12.314821	85.495201
10401.021770	 6233781	-0.236140	0.000000	3.162485	-0.303919	0.813095	-1.197303	-2.571400	0.148357	-0.192004	0.107172	0.000000	-0.114325	-52.589325	796.778076	-46.088116	91.091591	12.134507	85.392509
10401.023414	 6233782	-0.297874	0.000000	2.214673	-0.081119	1.145229	-0.931679	-2.536308	0.299160	-0.341134	0.106992	0.000000	-0.113839	-53.014748	797.195557	-46.891972	90.752037	11.986887	85.293419
10401.025085	 6233783	-0.324392	0.000000	1.683649	0.107601	1.476009	-0.772288	-2.485082	0.408092	-0.478806	0.106820	0.000000	-0.113404	-53.447235	797.555298	-47.691345	90.446320	11.874523	85.195076
10401.026752	 6233784	-0.330917	0.000000	1.365665	0.239564	1.784409	-0.743295	-2.436904	0.464636	-0.590491	0.106654	0.000000	-0.113034	-53.870090	797.837769	-48.415405	90.182861	11.804190	85.092926
10401.028419	 6233785	-0.330054	0.000000	1.187114	0.320309	2.006808	-0.834350	-2.382310	0.456995	-0.662354	0.106496	0.000000	-0.112708	-54.281418	798.093811	-49.024502	89.951210	11.769831	84.993469
10401.030088	 6233786	-0.328076	0.000000	1.111116	0.373612	2.060305	-1.015584	-2.289237	0.374231	-0.675937	0.106362	0.000000	-0.112377	-54.683491	798.421204	-49.499889	89.724541	11.754809	84.921936
10401.031753	 6233787	-0.325627	0.000000	1.117778	0.426696	1.907228	-1.246421	-2.131856	0.219336	-0.621045	0.106282	0.000000	-0.111997	-55.080330	798.897522	-49.846775	89.474091	11.742922	84.908356
10401.033419	 6233788	-0.319026	0.000000	1.202776	0.475916	1.592982	-1.480945	-1.916001	0.016978	-0.508202	0.106270	0.000000	-0.111540	-55.471325	799.546936	-50.092659	89.181503	11.721003	84.967751
10401.035080	 6233789	-0.296566	0.000000	1.378200	0.491427	1.218259	-1.679574	-1.679004	-0.195682	-0.361294	0.106324	0.000000	-0.111001	-55.846676	800.322571	-50.275505	88.836693	11.678482	85.093460
